cod,user_from_name,user_to_name,text,weights
10jovsbPaoloRibeiro87,10jovsb,PaoloRibeiro87,NonNecessary,1
10jovsb_MaiorDoRio,10jovsb,_MaiorDoRio,NonNecessary,1
1981olavooldfootball11,1981olavo,oldfootball11,RT @OldFootball11: #Sócrates and #Zico #Corinthians #Flamengo (1979). https://t.co/ElLseUVABs,1
_crfhenriquemulambbos,_crfhenrique,mulambbos,"RT @mulambbos: O jornal Extra afirmou que dirigentes do #Flamengo estão de olho em dois nomes para a lateral-direita: Mariano, do #Galatasa…",1
_maiordorio10jovsb,_maiordorio,10jovsb,RT @10Jovsb: 🔴VAMOS LÁ NAÇÃO⚫🔴DÊ RT NESTE TWITTER⚫🔴SIGA QUEM CURTIR⚫🔴SIGA QUEM DER RT⚫🔴SIGA QUEM TE SEGUIR⚫#RNsegueRN  #CRF  #flamengo,1
aalmeida1243garruchazh,aalmeida1243,garruchazh,"RT @garruchazh: #GarruchaZH Apesar dos títulos da Recopa e do Gauchão em 2018, conquistas de menor importância, o ano do #Grêmio vai termin…",1
adrielysboadagergarciagrova,adrielysboada,gergarciagrova,RT @GerGarciaGrova: #Flamengo - #Independiente. Final Sudamericana 2017. Último antecedente con agresiones fuera del anillo de seguridad. F…,1
allanmadiFlavioM32255797,allanmadi,FlavioM32255797,NonNecessary,1
allanmadiGandulaPolitico,allanmadi,GandulaPolitico,NonNecessary,1
allanmadiRafaGarcia322,allanmadi,RafaGarcia322,NonNecessary,1
allanmadicrf1981_,allanmadi,crf1981_,NonNecessary,1
allanmadiflamenguistatt,allanmadi,flamenguistatt,NonNecessary,1
allanmadileandro_sales07,allanmadi,leandro_sales07,NonNecessary,1
allanmadilevirenskt,allanmadi,levirenskt,NonNecessary,1
andreadag3oldfootball11,andreadag3,oldfootball11,RT @OldFootball11: #Sócrates and #Zico #Corinthians #Flamengo (1979). https://t.co/ElLseUVABs,1
antolianoherreroldfootball11,antolianoherrer,oldfootball11,RT @OldFootball11: #Sócrates and #Zico #Corinthians #Flamengo (1979). https://t.co/ElLseUVABs,1
arnaldonepuchapaunifla,arnaldonepu,chapaunifla,"RT @ChapaUniFla: Rodolfo Landim, no Aqui com Benja!, da Fox Sports, diz por que está preparado para assumir a presidência do #Flamengo e ex…",1
athirsonChang021,athirson,Chang021,NonNecessary,1
athirsonHugoSpiller,athirson,HugoSpiller,NonNecessary,1
athirsonZanini_Ale,athirson,Zanini_Ale,NonNecessary,1
athirsonfelipemarcoos,athirson,felipemarcoos,NonNecessary,1
athirsonhellayni,athirson,hellayni,NonNecessary,1
athirsonjp_menezess,athirson,jp_menezess,NonNecessary,1
athirsonmarcosdiaslima,athirson,marcosdiaslima,NonNecessary,1
athirsonvaldecimatheus,athirson,valdecimatheus,NonNecessary,1
athirsonvertonSalesMac1,athirson,vertonSalesMac1,NonNecessary,1
